as_of_date,scope,n_sources,n_sources_8x,stockout_any_mean,stockout_any_min,stockout_any_max,stockout_8x_mean,n_cycles_median,methodology_version
2026-06-22,global,4,3,0.5,0.0,1.0,0.6667,4,v2.2.0
2026-06-22,tier:T1,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-22,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-22,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-23,geo:US,2,2,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-23,global,4,3,0.5,0.0,1.0,0.6667,4,v2.2.0
2026-06-23,tier:T1,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-23,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-23,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-24,geo:US,2,2,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-24,global,4,3,0.5625,0.0,1.0,0.75,4,v2.2.0
2026-06-24,tier:T1,2,2,0.625,0.25,1.0,0.625,4,v2.2.0
2026-06-24,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-24,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-25,geo:US,2,2,0.75,0.5,1.0,0.75,4,v2.2.0
2026-06-25,global,4,3,0.5,0.0,1.0,0.6667,4,v2.2.0
2026-06-25,tier:T1,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-25,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-25,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-26,geo:EU,1,0,0.5,0.5,0.5,,4,v2.2.0
2026-06-26,geo:US,2,2,0.75,0.5,1.0,0.75,4,v2.2.0
2026-06-26,global,5,3,0.5,0.0,1.0,0.6667,4,v2.2.0
2026-06-26,tier:T1,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
